Date,Item,UPC,Item,Current Units,Current Sales,Current Weight
2024-07-28,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,11,37.95,11
2024-07-28,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-28,"14216 - POTATO, CHEDDAR & CHIVE BAKES",14216,"POTATO, CHEDDAR & CHIVE BAKES",2,10.9,2
2024-07-28,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,3,11.85,3
2024-07-28,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),3,10.95,3
2024-07-28,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,10,39.5,10
2024-07-28,25377 - COFFEE CAKE,25377,COFFEE CAKE,0,0,0
2024-07-28,25384 - BLUEBERRY YOGURT MUFFIN,25384,BLUEBERRY YOGURT MUFFIN,0,0,0
2024-07-28,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,5,21.25,5
2024-07-28,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,1,4.25,1
2024-07-28,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-28,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,4,13,4
2024-07-28,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,19,65.55,19
2024-07-28,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,9,31.05,9
2024-07-28,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.5,2
2024-07-28,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,2,10.5,2
2024-07-28,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,3,14.25,3
2024-07-28,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,2,9.5,2
2024-07-28,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,4,23,4
2024-07-28,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,4,19.8,4
2024-07-28,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,3,16.35,3
2024-07-28,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,1,5.45,1
2024-07-28,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",1,6.45,1
2024-07-28,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,0,0,0
2024-07-28,26704 - IMPOSSIBLE BREAKFAST SANDWICH,26704,IMPOSSIBLE BREAKFAST SANDWICH,0,0,0
2024-07-28,5769 - PUMPKIN & PEPITA LOAF,5769,PUMPKIN & PEPITA LOAF,2,8.5,2
2024-07-28,762111126719 - BISCOTTI VANILLA ALMOND US 24-CS,762111126719,BISCOTTI VANILLA ALMOND US 24-CS,1,1.95,1
2024-07-28,762111144355 - *D*MADELEINES,762111144355,*D*MADELEINES,0,0,0
2024-07-28,762111329240 - DRK CHOC CVRD ESPRESSO BNS,762111329240,DRK CHOC CVRD ESPRESSO BNS,0,0,0
2024-07-28,762111329264 - SALTED ALMOND CHOC BITES,762111329264,SALTED ALMOND CHOC BITES,0,0,0
2024-07-28,762111531520 - STRBCKS BTTRD GRMT POPCORN,762111531520,STRBCKS BTTRD GRMT POPCORN,1,1.5,0.05
2024-07-29,13896 - COOKIES & CREAM CAKE POP,13896,COOKIES & CREAM CAKE POP,3,10.35,3
2024-07-29,14089 - BUMBLEBEE CAKE POP,14089,BUMBLEBEE CAKE POP,0,0,0
2024-07-29,25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,25374,CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES ,2,7.9,2
2024-07-29,25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),25375,CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB),1,3.65,1
2024-07-29,25376 - CHEESE DANISH SQUARE,25376,CHEESE DANISH SQUARE,7,27.65,7
2024-07-29,25377 - COFFEE CAKE,25377,COFFEE CAKE,0,0,0
2024-07-29,25385 - BANANA NUT LOAF,25385,BANANA NUT LOAF,5,21.25,5
2024-07-29,25386 - ICED LEMON LOAF,25386,ICED LEMON LOAF,3,12.75,3
2024-07-29,25387 - PUMPKIN LOAF,25387,PUMPKIN LOAF,0,0,0
2024-07-29,25426 - CHOCOLATE CHIP COOKIE,25426,CHOCOLATE CHIP COOKIE,0,0,0
2024-07-29,25432 - BIRTHDAY CAKE POP,25432,BIRTHDAY CAKE POP,12,41.4,12
2024-07-29,25434 - CHOCOLATE CAKE POP,25434,CHOCOLATE CAKE POP,8,27.6,8
2024-07-29,25438 - EGG WHITE WRAP W/SPINACH,25438,EGG WHITE WRAP W/SPINACH,2,9.5,2
2024-07-29,25440 - BACON GOUDA CIABATTA,25440,BACON GOUDA CIABATTA,1,5.25,1
2024-07-29,25441 - SAUS EGG BKFAST SANDWICH,25441,SAUS EGG BKFAST SANDWICH,3,14.25,3
2024-07-29,25442 - REDUCED FAT TURK BAC SAND,25442,REDUCED FAT TURK BAC SAND,2,9.5,2
2024-07-29,25550 - DOUBLE SMOKED BACON,25550,DOUBLE SMOKED BACON,2,11.5,2
2024-07-29,25658 - HAM N CHZ SAVORY FOLDOVER,25658,HAM N CHZ SAVORY FOLDOVER,3,14.85,3
2024-07-29,26121 - SOUS VIDE BACON & GRUYERE,26121,SOUS VIDE BACON & GRUYERE,1,5.45,1
2024-07-29,26122 - SOUS VIDE EGG WHT RSTD RED PPR,26122,SOUS VIDE EGG WHT RSTD RED PPR,2,10.9,2
2024-07-29,"26688 - BACON, SAUSAGE AND EGG WRAP",26688,"BACON, SAUSAGE AND EGG WRAP",0,0,0
2024-07-29,26690 - PETITE VANILLA BEAN SCONE,26690,PETITE VANILLA BEAN SCONE,0,0,0
