Date	Item	UPC	Item	Current Units	Current Sales	Current Weight
2024-07-21	13896 - COOKIES & CREAM CAKE POP	13896	COOKIES & CREAM CAKE POP	1	3.25	1
2024-07-21	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-21	25376 - CHEESE DANISH SQUARE	25376	CHEESE DANISH SQUARE	0	0	0
2024-07-21	25377 - COFFEE CAKE	25377	COFFEE CAKE	1	3.95	1
2024-07-21	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	3	11.85	3
2024-07-21	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	1	3.95	1
2024-07-21	25426 - CHOCOLATE CHIP COOKIE	25426	CHOCOLATE CHIP COOKIE	0	0	0
2024-07-21	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	9	29.25	9
2024-07-21	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	3	9.75	3
2024-07-21	25440 - BACON GOUDA CIABATTA	25440	BACON GOUDA CIABATTA	0	0	0
2024-07-21	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	4	19.8	4
2024-07-21	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	1	4.95	1
2024-07-21	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	2	11.9	2
2024-07-21	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	1	4.95	1
2024-07-21	26121 - SOUS VIDE BACON & GRUYERE	26121	SOUS VIDE BACON & GRUYERE	0	0	0
2024-07-21	26122 - SOUS VIDE EGG WHT RSTD RED PPR	26122	SOUS VIDE EGG WHT RSTD RED PPR	0	0	0
2024-07-21	26704 - IMPOSSIBLE BREAKFAST SANDWICH	26704	IMPOSSIBLE BREAKFAST SANDWICH	0	0	0
2024-07-21	5769 - PUMPKIN & PEPITA LOAF	5769	PUMPKIN & PEPITA LOAF	1	3.95	1
2024-07-21	602652170683 - KIND BAR SALTED CARAMEL DK CHOC	602652170683	KIND BAR SALTED CARAMEL DK CHOC	1	1.95	0.083
2024-07-22	13896 - COOKIES & CREAM CAKE POP	13896	COOKIES & CREAM CAKE POP	0	0	0
2024-07-22	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-22	14215 - VANILLA BEAN CUSTARD DANISH	14215	VANILLA BEAN CUSTARD DANISH	1	4.25	1
2024-07-22	25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	25375	CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	2	7.3	2
2024-07-22	25377 - COFFEE CAKE	25377	COFFEE CAKE	1	3.95	1
2024-07-22	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	1	3.95	1
2024-07-22	25387 - PUMPKIN LOAF	25387	PUMPKIN LOAF	0	0	0
2024-07-22	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	5	16.25	5
2024-07-22	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	2	6.5	2
2024-07-22	25438 - EGG WHITE WRAP W/SPINACH	25438	EGG WHITE WRAP W/SPINACH	0	0	0
2024-07-22	25440 - BACON GOUDA CIABATTA	25440	BACON GOUDA CIABATTA	0	0	0
2024-07-22	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	1	4.95	1
2024-07-22	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	2	9.9	2
2024-07-22	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	1	4.95	1
2024-07-22	26121 - SOUS VIDE BACON & GRUYERE	26121	SOUS VIDE BACON & GRUYERE	2	10.9	2
2024-07-22	"26688 - BACON, SAUSAGE AND EGG WRAP"	26688	"BACON, SAUSAGE AND EGG WRAP"	0	0	0
2024-07-22	26690 - PETITE VANILLA BEAN SCONE	26690	PETITE VANILLA BEAN SCONE	0	0	0
2024-07-22	762111126719 - BISCOTTI VANILLA ALMOND US 24-CS	762111126719	BISCOTTI VANILLA ALMOND US 24-CS	2	3.9	2
2024-07-22	762111329240 - DRK CHOC CVRD ESPRESSO BNS	762111329240	DRK CHOC CVRD ESPRESSO BNS	0	0	0
2024-07-23	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-23	25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES	25374	CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES 	0	0	0
2024-07-23	25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	25375	CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	3	10.95	3
2024-07-23	25377 - COFFEE CAKE	25377	COFFEE CAKE	1	3.95	1
2024-07-23	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	1	3.95	1
2024-07-23	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	1	3.95	1
2024-07-23	25387 - PUMPKIN LOAF	25387	PUMPKIN LOAF	0	0	0
2024-07-23	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	6	19.5	6
2024-07-23	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	2	6.5	2
2024-07-23	25438 - EGG WHITE WRAP W/SPINACH	25438	EGG WHITE WRAP W/SPINACH	3	14.85	3
2024-07-23	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	1	4.95	1
2024-07-23	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	0	0	0
2024-07-23	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	1	5.95	1
2024-07-23	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	3	14.85	3
2024-07-23	26704 - IMPOSSIBLE BREAKFAST SANDWICH	26704	IMPOSSIBLE BREAKFAST SANDWICH	0	0	0
2024-07-23	5769 - PUMPKIN & PEPITA LOAF	5769	PUMPKIN & PEPITA LOAF	1	3.95	1
2024-07-23	602652170683 - KIND BAR SALTED CARAMEL DK CHOC	602652170683	KIND BAR SALTED CARAMEL DK CHOC	1	1.95	0.083
2024-07-23	762111329240 - DRK CHOC CVRD ESPRESSO BNS	762111329240	DRK CHOC CVRD ESPRESSO BNS	0	0	0
2024-07-24	13896 - COOKIES & CREAM CAKE POP	13896	COOKIES & CREAM CAKE POP	0	0	0
2024-07-24	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-24	25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	25375	CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	1	3.65	1
2024-07-24	25377 - COFFEE CAKE	25377	COFFEE CAKE	0	0	0
2024-07-24	25384 - BLUEBERRY YOGURT MUFFIN	25384	BLUEBERRY YOGURT MUFFIN	0	0	0
2024-07-24	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	3	11.85	3
2024-07-24	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	1	3.95	1
2024-07-24	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	7	22.75	7
2024-07-24	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	3	9.75	3
2024-07-24	25438 - EGG WHITE WRAP W/SPINACH	25438	EGG WHITE WRAP W/SPINACH	1	4.95	1
2024-07-24	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	0	0	0
2024-07-24	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	0	0	0
2024-07-24	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	0	0	0
2024-07-24	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	1	4.95	1
2024-07-24	26121 - SOUS VIDE BACON & GRUYERE	26121	SOUS VIDE BACON & GRUYERE	1	5.45	1
2024-07-24	"26688 - BACON, SAUSAGE AND EGG WRAP"	26688	"BACON, SAUSAGE AND EGG WRAP"	0	0	0
2024-07-24	26690 - PETITE VANILLA BEAN SCONE	26690	PETITE VANILLA BEAN SCONE	0	0	0
2024-07-24	26704 - IMPOSSIBLE BREAKFAST SANDWICH	26704	IMPOSSIBLE BREAKFAST SANDWICH	0	0	0
2024-07-24	5769 - PUMPKIN & PEPITA LOAF	5769	PUMPKIN & PEPITA LOAF	1	3.95	1
2024-07-24	762111198464 - ETHOS BOTTLED WATER	762111198464	ETHOS BOTTLED WATER	0	0	0
2024-07-24	762111531520 - STRBCKS BTTRD GRMT POPCORN	762111531520	STRBCKS BTTRD GRMT POPCORN	0	0	0
2024-07-24	810091780473 - SIETE SEA SALT POTATO CHIPS	810091780473	SIETE SEA SALT POTATO CHIPS	2	5.1	2
2024-07-24	851769007676 - SIETE LIME TORTILLA CHIPS	851769007676	SIETE LIME TORTILLA CHIPS	1	2.55	1
2024-07-25	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-25	"14216 - POTATO, CHEDDAR & CHIVE BAKES"	14216	"POTATO, CHEDDAR & CHIVE BAKES"	1	5.45	1
2024-07-25	25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES	25374	CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES 	0	0	0
2024-07-25	25375 - CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	25375	CROISSANT - LB (WEST - SELECT CDCS SEE NOTES TAB)	1	3.65	1
2024-07-25	25376 - CHEESE DANISH SQUARE	25376	CHEESE DANISH SQUARE	0	0	0
2024-07-25	25377 - COFFEE CAKE	25377	COFFEE CAKE	0	0	0
2024-07-25	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	0	0	0
2024-07-25	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	1	3.95	1
2024-07-25	25387 - PUMPKIN LOAF	25387	PUMPKIN LOAF	0	0	0
2024-07-25	25426 - CHOCOLATE CHIP COOKIE	25426	CHOCOLATE CHIP COOKIE	2	6.5	2
2024-07-25	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	7	22.75	7
2024-07-25	25438 - EGG WHITE WRAP W/SPINACH	25438	EGG WHITE WRAP W/SPINACH	0	0	0
2024-07-25	25440 - BACON GOUDA CIABATTA	25440	BACON GOUDA CIABATTA	1	5.45	1
2024-07-25	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	0	0	0
2024-07-25	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	1	4.95	1
2024-07-25	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	1	5.95	1
2024-07-25	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	2	9.9	2
2024-07-25	26121 - SOUS VIDE BACON & GRUYERE	26121	SOUS VIDE BACON & GRUYERE	0	0	0
2024-07-25	26122 - SOUS VIDE EGG WHT RSTD RED PPR	26122	SOUS VIDE EGG WHT RSTD RED PPR	0	0	0
2024-07-25	26704 - IMPOSSIBLE BREAKFAST SANDWICH	26704	IMPOSSIBLE BREAKFAST SANDWICH	0	0	0
2024-07-25	5769 - PUMPKIN & PEPITA LOAF	5769	PUMPKIN & PEPITA LOAF	1	3.95	1
2024-07-25	762111144355 - *D*MADELEINES	762111144355	*D*MADELEINES	0	0	0
2024-07-25	762111329240 - DRK CHOC CVRD ESPRESSO BNS	762111329240	DRK CHOC CVRD ESPRESSO BNS	0	0	0
2024-07-25	851769007676 - SIETE LIME TORTILLA CHIPS	851769007676	SIETE LIME TORTILLA CHIPS	1	2.55	1
2024-07-26	13896 - COOKIES & CREAM CAKE POP	13896	COOKIES & CREAM CAKE POP	2	6.5	2
2024-07-26	14089 - BUMBLEBEE CAKE POP	14089	BUMBLEBEE CAKE POP	0	0	0
2024-07-26	14397 - BLUEBERRY STREUSEL MUFFIN	14397	BLUEBERRY STREUSEL MUFFIN	1	3.65	1
2024-07-26	25374 - CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES	25374	CHOCOLATE CROISSANT (WEST - SELECT CDCS SEE NOTES 	0	0	0
2024-07-26	25376 - CHEESE DANISH SQUARE	25376	CHEESE DANISH SQUARE	1	3.95	1
2024-07-26	25377 - COFFEE CAKE	25377	COFFEE CAKE	1	3.95	1
2024-07-26	25384 - BLUEBERRY YOGURT MUFFIN	25384	BLUEBERRY YOGURT MUFFIN	0	0	0
2024-07-26	25385 - BANANA NUT LOAF	25385	BANANA NUT LOAF	2	7.9	2
2024-07-26	25386 - ICED LEMON LOAF	25386	ICED LEMON LOAF	0	0	0
2024-07-26	25387 - PUMPKIN LOAF	25387	PUMPKIN LOAF	0	0	0
2024-07-26	25432 - BIRTHDAY CAKE POP	25432	BIRTHDAY CAKE POP	5	16.25	5
2024-07-26	25434 - CHOCOLATE CAKE POP	25434	CHOCOLATE CAKE POP	2	6.5	2
2024-07-26	25438 - EGG WHITE WRAP W/SPINACH	25438	EGG WHITE WRAP W/SPINACH	2	9.9	2
2024-07-26	25440 - BACON GOUDA CIABATTA	25440	BACON GOUDA CIABATTA	0	0	0
2024-07-26	25441 - SAUS EGG BKFAST SANDWICH	25441	SAUS EGG BKFAST SANDWICH	0	0	0
2024-07-26	25442 - REDUCED FAT TURK BAC SAND	25442	REDUCED FAT TURK BAC SAND	1	4.95	1
2024-07-26	25550 - DOUBLE SMOKED BACON	25550	DOUBLE SMOKED BACON	4	23.8	4
2024-07-26	25658 - HAM N CHZ SAVORY FOLDOVER	25658	HAM N CHZ SAVORY FOLDOVER	0	0	0
2024-07-26	26121 - SOUS VIDE BACON & GRUYERE	26121	SOUS VIDE BACON & GRUYERE	0	0	0
